Science|science
Int. J Agile. Manuf.|international journal of agile manufacturing
Int. J Agric. Biol. Eng.|international journal of agricultural and biological engineering
Int. J Agron.|international journal of agronomy
Int. J Air. Water. Pollut.|international journal of air and water pollution
Int. J Algae.|international journal on algae
Int. J Altern. Propul.|international journal of alternative propulsion
Int. J Ambient. Energy.|international journal of ambient energy
Int. J Anal. Chem.|international journal of analytical chemistry
Int. J Antennas. Propag.|international journal of antennas and propagation
Int. J Antimicrob. Agents.|international journal of antimicrobial agents
Int. J Appl. Ceram. Technol.|international journal of applied ceramic technology
Int. J Appl. Chem.|international journal of applied chemistry
Int. J Appl. Earth. Obs. Geoinf.|international journal of applied earth observation and geoinformation
Int. J Appl. Electromagnet. Mech.|international journal of applied electromagnetics and mechanics
Int. J Appl. Glass. Sci.|international journal of applied glass science
Int. J Appl. Math.|international journal of applied mathematics
Int. J Appl. Math. Comput. Sci.|international journal of applied mathematics and computer science
Int. J Appl. Radiat. Isot.|international journal of applied radiation and isotopes
Int. J Appl. Sci. Technol.|international journal of applied science and technology
Int. J Appl. Syst. Stud.|international journal of applied systemic studies
Int. J Approximate. Reasoning.|international journal of approximate reasoning
Int. J Aromather.|international journal of aromatherapy
Int. J Artif. Intell. Educ.|international journal of artificial intelligence in education
Int. J Artif. Intell. Tools.|international journal on artificial intelligence tools
Int. J Artif. Organs.|international journal of artificial organs
Int. J Astrobiol.|international journal of astrobiology
Int. J Autom. Comput.|international journal of automation and computing
Int. J Autom. Control.|international journal of automation and control
Int. J Automot. Technol.|international journal of automotive technology
Int. J Automot. Technol. Manage.|international journal of automotive technology and management
Int. J Bifurcation. Chaos.|international journal of bifurcation and chaos
Int. J Bifurcation. Chaos. Appl. Sci. Eng.|international journal of bifurcation and chaos in applied sciences and engineering
Int. J Biochem.|international journal of biochemistry
Int. J Biochem. Cell. Biol.|international journal of biochemistry &; cell biology
Int. J BioChemiPhysics.|international journal of biochemiphysics
Int. J Bio-Chromatogr.|international journal of biochromatography
Int. J Bioclimatol. Biometeorol.|international journal of bioclimatology and biometeorology
Int. J Biodivers. Sci. Manage.|international journal of biodiversity science &; management
Int. J Bioinf. Res. Appl.|international journal of bioinformatics research and applications
Int. J Biol. Biotech.|international journal of biology and biotechnology
Int. J Biol. Chem.|international journal of biological chemistry
Int. J Biol. Macromol.|international journal of biological macromolecules
Int. J Biol. Markers.|international journal of biological markers
Int. J Biomater.|international journal of biomaterials
Int. J Bio-Med. Comput.|international journal of bio-medical computing
Int. J Biomed. Eng.|international journal of biomedical engineering
Int. J Biomed. Eng. Technol.|international journal of biomedical engineering and technology
Int. J Biomed. Imaging.|international journal of biomedical imaging
Int. J Biomed. Sci.|international journal of biomedical sciences
Int. J Biometeorol.|international journal of biometeorology
Int. J Biotechnol.|international journal of biotechnology
Int. J Cancer.|international journal of cancer
Int. J Cardiol. Heart. Vessels.|international journal of cardiology-heart &; vessels
Int. J Cardol. Metab. Endocr.|international journal of cardiology-metabolic &; endocrine
Int. J Cast. Met. Res.|international journal of cast metals research
Int. J Cell. Biol.|international journal of cell biology
Int. J Cem. Compos. Lightweight. Concrete.|international journal of cement composites and lightweight concrete
Int. J Ceram. Eng. Sci.|international journal of ceramic engineering and science
Int. J Chem. Anal. Sci.|international journal of chemical and analytical science
Int. J Chem. Eng.|international journal of chemical engineering
Int. J Chem. Kinet.|international journal of chemical kinetics
Int. J Chem. Model.|international journal of chemical modeling
Int. J Chem. Reactor. Eng.|international journal of chemical reactor engineering
Int. J Chem. Sc.|international journal of chemical sciences
Int. J Child-Comput. Interact.|international journal of child-computer interaction
Int. J Circuit. Theory. Appl.|international journal of circuit theory and applications
Int. J Clim. Change. Strategies. Manage.|international journal of climate change strategies and management
Int. J Climatol.|international journal of climatology
Int. J Clin. Exp. Med.|international journal of clinical and experimental medicine
Int. J Clin. Exp. Path.|international journal of clinical and experimental pathology
Int. J Clin. Lab. Res.|international journal of clinical and laboratory research
Int. J Coal. Geol.|international journal of coal geology
Int. J COMADEM.|international journal of comadem
Int. J Commun. Syst.|international journal of communication systems
Int. J Comput. Appl.|international journal of computers and applications
Int. J Comput. Appl. Technol.|international journal of computer applications in technology
Int. J Comput. Fluid. Dyn.|international journal of fluid dynamics
Int. J Comput. Games. Technol.|international journal of computer games technology
Int. J Comput. Intell. Appl.|international journal of computational intelligence and applications
Int. J Comput. Mater. Sci. Surf. Eng.|international journal of computational materials science and surface engineering
Int. J Comput. Math. Learn.|international journal of computers for mathematical learning
Int. J Comput. Methods.|international journal of computational methods
Int. J Comput. Methods. Eng. Sci. Mech.|international journal for computational methods in engineering science and mechanics
Int. J Comput. Methods. Exp. Meas.|international journal of computational methods and experimental measurements
Int. J Comput. Sci. Eng.|international journal of computational science and engineering
Int. J Comput. Sci. Math.|international journal of computing science and mathematics
Int. J Comput. Vision.|international journal of computer vision
Int. J Computer. Integr. Manuf.|international journal of computer integrated manufacturing
Int. J Condens. Matter. Res.|international journal of condensed matter research
Int. J Control.|international journal of control
Int. J Control. Autom. Syst.|international journal of control, automation and systems
Int. J Corros.|international journal of corrosion
Int. J Cosmet. Sci.|international journal of cosmetic science
Int. J Crashworthiness.|international journal of crashworthiness
Int. J Crit. Infrastruct.|international journal of critical infrastructures
Int. J Crit. Infrastruct. Prot.|international journal of critical infrastructure protection
Int. J Crowd. Sci.|international journal of crowd science
Int. J Curr. Chem.|international journal of current chemistry
Int. J Curr. Trends. Sci. Technol.|international journal of current trends in science and technology
Int. J Dairy. Technol.|international journal of dairy technology
Int. J Damage. Mech.|international journal of damage mechanics
Int. J Data. Warehouse. Min.|international journal of data warehousing and mining
Int. J Dent.|international journal of dentistry
Int. J Dent. Sci. Res.|international journal of dental science and research
Int. J Des. Nat.|international journal of design and nature
Int. J Des. Nat. Ecodyn.|international journal of design &; nature and ecodynamics
Int. J Dev. Biol.|international journal of developmental biology
Int. J Dev. Neurosci.|international journal of developmental neuroscience
Int. J Dev. Sci.|international journal of developmental science
Int. J Differ. Equations.|international journal of differential equations
Int. J Digital. Earth.|international journal of digital earth
Int. J Digital. Multimedia. Broadcast.|international journal of digital multimedia broadcasting
Int. J Disaster. Risk. Reduct.|international journal of disaster risk reduction
Int. J Distrib. Sens. Netw.|international journal of distributed sensor networks
Int. J Doc. Anal. Recogn.|international journal on document analysis and recognition
Int. J Drug. Policy.|international journal on drug policy
Int. J Dyn. Syst. Differ. Equations.|international journal of dynamical systems and differential equations
Int. J Earth. Sci.|international journal of earth sciences
Int. J Ecodyn.|international journal of ecodynamics
Int. J Ecol.|international journal of ecology
Int. J Electr. Comput. Syst. Eng.|international journal of electrical, computer, and systems engineering
Int. J Electr. Eng.|international journal of electrical engineering
Int. J Electr. Eng. Educ.|international journal of electrical engineering education
Int. J Electr. Hybrid. Veh.|international journal of electric and hybrid vehicles
Int. J Electr. Power. Energy. Syst.|international journal of electrical power &; energy systems
Int. J Electrochem.|international journal of electrochemistry
Int. J Electrochem. Sci.|international journal of electrochemical science
Int. J Electron.|international journal of electronics
Int. J Electron. Secur. Digit. Forensics.|international journal of electronic security and digital forensics
Int. J Embedded. Syst.|international journal of embedded systems
Int. J Emergency. Manage.|international journal of emergency management
Int. J Emerging. Electr. Power. Syst.|international journal of emerging electric power systems
Int. J Endocrinol.|international journal of endocrinology
Int. J Endocrinol. Metab.|international journal of endocrinology and metabolism
Int. J Energy. Environ.|international journal of energy and environment
Int. J Energy. Res.|international journal of energy research
Int. J Energy. Sect. Manage.|international journal of energy sector management
Int. J Eng.|international journal of engineering
Int. J Eng. Bus. Manage.|international journal of engineering business management
Int. J Eng. Educ.|international journal of engineering education
Int. J Eng. Math.|international journal of engineering mathematics
Int. J Eng. Model.|international journal for engineering modelling
Int. J Eng. Res. Afr.|international journal of engineering research in africa
Int. J Eng. Sci.|international journal of engineering science
Int. J Eng. Trans. A|international journal of engineering, transactions a: basics
Int. J Eng. Trans. B|international journal of engineering, transactions b: applications
Int. J Engine. Res.|international journal of engine research
Int. J Enterp. Inf. Syst.|international journal of enterprise information systems
Int. J Environ. Anal. Chem.|international journal of environmental and analytical chemistry
Int. J Environ. Impacts.|international journal of environmental impacts
Int. J Environ. Pollut.|international journal of environment and pollution
Int. J Environ. Res. Public. Health.|international journal of environmental research and public health
Int. J Environ. Sci. Technol.|international journal of environmental science and technology
Int. J Environ. Stud.|international journal of environmental studies
Int. J Environ. Technol. Manage.|international journal of environmental technology and management
Int. J Environ. Waste. Manage.|international journal of environment and waste management
Int. J Epidemiol.|international journal of epidemiology
Int. J Essent. Oil. Ther.|international journal of essential oil therapeutics
Int. J Exergy.|international journal of exergy
Int. J Exp. Path.|international journal of experimental pathology
Int. J Extreme. Manuf.|international journal of extreme manufacturing
Int. J Fatigue.|international journal of fatigue
Int. J Flexible. Manuf. Syst.|international journal of flexible manufacturing systems
Int. J Fluid. Mech. Res.|international journal of fluid mechanics research
Int. J Fluid. Power.|international journal of fluid power
Int. J Food. Contam.|international journal of food contamination
Int. J Food. Eng.|international journal of food engineering
Int. J Food. Microbiol.|international journal of food microbiology
Int. J Food. Prop.|international journal of food properties
Int. J Food. Sci.|international journal of food science
Int. J Food. Sci. Nutr.|international journal of food science and nutrition
Int. J Food. Sci. Technol.|international journal of food science and technology
Int. J Food. Stud.|international journal of food studies
Int. J For. Res.|international journal of forestry research
Int. J Form. Processes.|international journal of forming processes
Int. J Fract.|international journal of fracture
Int. J FractMech.|international journal of fracture mechanics
Int. J Fuzzy. Syst.|international journal of fuzzy systems
Int. J Gen. Syst.|international journal of general systems
Int. J Genomics.|international journal of genomics
Int. J Geo-Eng.|international journal of geo-engineering
Int. J Geoheritage. Parks.|international journal of geoheritage and parks
Int. J Geom. Methods. Mod. Phys.|international journal of geometric methods in modern physics
Int. J Geomag. Aeron.|international journal of geomagnetism and aeronomy
Int. J Geomech.|international journal of geomechanics
Int. J Geophys.|international journal of geophysics
Int. J Geotech. Eng.|international journal of geotechnical engineering
Int. J Global. Energy. Issues.|international journal of global energy issues
Int. J Green. Energy.|international journal of green energy
Int. J Green. Nanotechnol.|international journal of green nanotechnology
Int. J Green. Nanotechnol. Biomed.|international journal of green nanotechnology: biomedicine
Int. J Green. Nanotechnol. Mater. Sci. Eng.|international journal of green nanotechnology: materials science and engineering
Int. J Green. Nanotechnol. Phys. Chem.|international journal of green nanotechnology: physics and chemistry
Int. J Greenhouse. Gas. Control.|international journal of greenhouse gas control
Int. J Grid. Util. Comput.|international journal of grid and utility computing
Int. J Health. Geographics.|international journal of health geographics
Int. J Heat. Exch.|international journal of heat exchangers
Int. J Heat. Fluid. Flow.|international journal of heat and fluid flow
Int. J Heat. Mass. Transfer.|international journal of heat and mass transfer
Int. J Heat. Technol.|international journal of heat and technology
Int. J Heavy. Veh. Syst.|international journal of heavy vehicle systems
Int. J Hig. Technol. Ceram.|international journal of high technology ceramics
Int. J High. Perform. Comput. Appl.|international journal of high performance computing applications
Int. J High. Perform. Comput. Networking.|international journal of high performance computing and networking
Int. J High. Perform. Syst. Archit.|international journal of high performance systems architecture
Int. J High. Speed. Electron. Syst.|international journal of high speed electronics and systems
Int. J Hous. Sci. Appl.|international journal for housing science and its applications
Int. J Hum. Comput. Stud.|international journal of human-computer studies
Int. J Humanoid. Rob.|international journal of humanoid robotics
Int. J Hybrid. Intell. Syst.|international journal of hybrid intelligent systems
Int. J Hybrid. Microelectron.|international journal of hybrid microelectronics
Int. J Hydrocarbon. Eng.|international journal of hydrocarbon engineering
Int. J Hydrogen. Energy.|international journal of hydrogen energy
Int. J Hydropower. Dams.|international journal on hydropower and dams
Int. J Hyg. Environ. Health.|international journal of hygiene and environmental health
Int. J Imaging. Syst. Technol.|international journal of imaging systems and technology
Int. J Immunogenet.|international journal of immunogenetics
Int. J Immunopathol. Pharmacol.|international journal of immunopathology and pharmacology
Int. J Immunopharmacol.|international journal of immunopharmacology
Int. J Impact. Eng.|international journal of impact engineering
Int. J Ind. EngTheory. Appl. Pract.|international journal of industrial engineering: theory applications and practice
Int. J Ind. Ergon.|international journal of industrial ergonomics
Int. J Ind. Organ.|international journal of industrial organization
Int. J Ind. Syst. Eng.|international journal of industrial and systems engineering
Int. J Inf. Commun. Technol.|international journal of information and communication technology
Int. J Inf. Comput. Secur.|international journal of information and computer security
Int. J Inf. Manage.|international journal of information management
Int. J Inf. Manage. Sci.|international journal of information and management sciences
Int. J Inf. Qual.|international journal of information quality
Int. J Inf. Secur.|international journal of information security
Int. J Inf. Syst. Change. Mange.|international journal of information systems and change management
Int. J Inf. Technol. Manage.|international journal of information technology and management
Int. J Inf. Technol. Web. Eng.|international journal of information technology and web engineering
Int. J Infrared. Millimeter. Waves.|international journal of infrared and millimeter waves
Int. J Innovative. Comput. Appl.|international journal of innovative computing and applications
Int. J Inorg. Mater.|international journal of inorganic materials
Int. J Insect. Morphol. Embryol.|international journal of insect morphology and embryology
Int. J Insect. Sci.|international journal of insect science
Int. J Intell. Inf. Database. Syst.|international journal of intelligent information and database systems
Int. J Intell. Inf. Technol.|international journal of intelligent information technologies
Int. J Intell. Syst.|international journal of intelligent systems
Int. J Intell. Transp. Syst. Res.|international journal of intelligent transportation systems research
Int. J Interact. Des. Manuf.|international journal on interactive design and manufacturing
Int. J Internet. Manuf. Serv.|international journal of internet manufacturing and services
Int. J Internet. Protoc. Technol.|international journal of internet protocol technology
Int. J Ion. Mobility. Spectrom.|international journal of ion mobility spectrometry
Int. J Jpn. Soc. Precis. Eng.|international journal of the japan society for precision engineering
Int. J Knowledge-Based. Intell. Eng. Syst.|international journal of knowledge-based and intelligent engineering systems
Int. J Labor. Hematol.|international journal of laboratory hematology
Int. J Legal. Med.|international journal of legal medicine
Int. J Life. Cycle. Assess.|international journal of life cycle assessment
Int. J Lightweight. Mater. Manuf.|international journal of lightweight materials and manufacture
Int. J Low. Carbon. Technol.|international journal of low carbon technologies
Int. J Low-Carbon. Technol.|international journal of low-carbon technologies
Int. J Mach. Learn. Cybern.|international journal of machine learning and cybernetics
Int. J Mach. Mach. Mater.|international journal of machining and machinability of materials
Int. J Mach. Tools. Manuf.|international journal of machine tools and manufacture
Int. J Man. Mach. Stud.|international journal of man-machine studies
Int. J Manuf. Res.|international journal of manufacturing research
Int. J Manuf. Technol. Manage.|international journal of manufacturing technology and management
Int. J Mar. Coast. Law.|international journal of marine and coastal law
Int. J Mar. Energy.|international journal of marine energy
Int. J Mass. Spectrom.|international journal of mass spectrometry
Int. J Mass. Spectrom. Ion. Phys.|international journal of mass spectrometry and ion physics
Int. J Mass. Spectrom. Ion. Processes.|international journal of mass spectrometry and ion processes
Int. J Mater. Form.|international journal of material forming
Int. J Mater. Prod. Technol.|international journal of materials and product technology
Int. J Mater. Res.|international journal of materials research
Int. J Mater. Struct. Integrity.|international journal of materials and structural integrity
Int. J Math. Educ. Sci. Technol.|international journal of mathematical education in science and technology
Int. J Math. Math. Sci.|international journal of mathematics and mathematical sciences
Int. J Mech. Eng. Educ.|international journal of mechanical engineering education
Int. J Mech. Mater. Des.|international journal of mechanics and materials in design
Int. J Mech. Sci.|international journal of mechanical sciences
Int. J Mech. Syst. Sci. Eng.|international journal of mechanical systems science and engineering
Int. J Med. Chem.|international journal of medicinal chemistry
Int. J Med. Eng. Inf.|international journal of medical engineering and informatics
Int. J Med. Inf.|international journal of medical informatics
Int. J Med. Microbiol.|international journal of medical microbiology
Int. J Mol. Med. Adv. Sci.|international journal of molecular medicine and advance sciences
Int. J Med. Rob. Comput. Assisted. Surg.|international journal of medical robotics and computer assisted surgery
Int. J Metadata. Semant. Ontol.|international journal of metadata, semantics and ontologies
Int. J Metalcast.|international journal of metalcasting
Int. J Micro. Air. Veh.|international journal of micro air vehicles
Int. J Microbiol.|international journal of microbiology
Int. J Microcircuits. Electron. Packag.|international journal of microcircuits and electronic packaging
Int. J Microstruct. Mater. Prop.|international journal of microstructure and materials properties
Int. J Microwave. Wireless. Technolog.|international journal of microwave and wireless technologies
Int. J Min. Miner. Eng.|international journal of mining and mineral processing engineering
Int. J Min. Reclam. Environ.|international journal of mining, reclamation and environment
Int. J Min. Sci. Technol.|international journal of mining science and technology
Int. J Mine. Water.|international journal of mine water
Int. J Miner. Metall. Mater.|international journal of minerals, metallurgy, and materials
Int. J Miner. Process.|international journal of mineral processing
Int. J Mobile. Commun.|international journal of mobile communications
Int. J Mobile. Network. Des. Innov.|international journal of mobile network design and innovation
Int. J Mod. Phys. A|international journal of modern physics a: particles and fields; gravitation; cosmology; nuclear physics
Int. J Mod. Phys. B|international journal of modern physics b: condensed matter physics, statistical physics, applied physics
Int. J Mod. Phys. C|international journal of modern physics c: computational physics and physical computation
Int. J Mod. Phys. D|international journal of modern physics d: gravitation; astrophysics and cosmology
Int. J Mod. Phys. E|international journal of modern physics e: nuclear physics
Int. J Model. Identif. Control.|international journal of modelling, identification and control
Int. J Model. Simul.|international journal of modelling and simulation
Int. J Mol. Med.|international journal of molecular medicine
Int. J Mol. Sci.|international journal of molecular sciences
Int. J Morphol.|international journal of morphology
Int. J Multiphase. Flow.|international journal of multiphase flow
Int. J Multiphys.|international journal of multiphysics
Int. J Multiscale. Comput. Eng.|international journal for multiscale computational engineering
Int. J Nano. Biomater.|international journal of nano and biomaterials
Int. J Nanomanuf.|international journal of nanomanufacturing
Int. J Nanomed.|international journal of nanomedicine
Int. J Nanosci.|international journal of nanoscience
Int. J Nanotechnol.|international journal of nanotechnology
Int. J Nat. Eng. Sci.|international journal of natural and engineering sciences
Int. J Nav. Archit. Ocean. Eng.|international journal of naval architecture and ocean engineering
Int. J Network. Manage.|international journal of network management
Int. J Networking. Virtual. Organ.|international journal of networking and virtual organisations
Int. J Neural. Syst.|international journal of neural systems
Int. J Neuropharmacol.|international journal of neuropharmacology
Int. J Neuropsychopharmacol.|international journal of neuropsychopharmacology
Int. J Non. Equilibr. Process.|international journal of non-equilibrium processing
Int. J Non. Linear. Mech.|international journal of non-linear mechanics
Int. J Nondestr. Test.|international journal of nondestructive testing
Int. J Nonlinear. Modell. Sci. Eng.|international journal of nonlinear modelling in science and engineering
Int. J Nucl. Desalin.|international journal of nuclear desalination
Int. J Nucl. Energy. Sci. Technol.|international journal of nuclear energy science and technology
Int. J Nucl. Med. Biol.|international journal of nuclear medicine and biology
Int. J Numer. Anal. Methods. Geomech.|international journal for numerical and analytical methods in geomechanics
Int. J Numer. Anal. Model.|international journal of numerical analysis and modeling
Int. J Numer. Methods. Biomed. Eng.|international journal of numerical methods in biomedical engineering
Int. J Numer. Methods. Eng.|international journal for numerical methods in engineering
Int. J Numer. Methods. Fluids.|international journal for numerical methods in fluids
Int. J Numer. Methods. Heat. Fluid. Flow.|international journal of numerical methods for heat and fluid flow
Int. J Numer. Modell. Electron. Networks. Devices. Fields.|international journal of numerical modelling: electronic networks, devices and fields
Int. J Oceanol. Limnol.|international journal of oceanology and limnology
Int. J Offshore. Polar. Eng.|international journal of offshore and polar engineering
Int. J Oncol.|international journal of oncology
Int. J Opt.|international journal of optics
Int. J Optomechatronics.|international journal of optomechatronics
Int. J Oral. Sci.|international journal of oral science
Int. J Osteoarchaeol.|international journal of osteoarchaeology
Int. J Paleopathol.|international journal of paleopathology
Int. J Parallel. Emergent. Distrib. Syst.|international journal of parallel, emergent and distributed systems
Int. J Parallel. Program.|international journal of parallel programming
Int. J Parasitol.|international journal for parasitology
Int. J Parasitol:. Drugs. Drug. Resist.|international journal of parasitology: drugs and drug resistance
Int. J Parasitol:. Parasites. Wildl.|international journal of parasitology: parasites and wildlife
Int. J Pattern. Recognit. Artif. Intell.|international journal of pattern recognition and artificial intelligence
Int. J Pavement. Eng.|international journal of pavement engineering
Int. J Pavement. Res. Technol.|international journal of pavement research and technology
Int. J Pept.|international journal of peptides
Int. J Pept. Protein. Res.|international journal of peptide and protein research
Int. J Pept. Res. Ther.|international journal of peptide research and therapeutics
Int. J Pharm.|international journal of pharmaceutics
Int. J Pharm. Compd.|international journal of pharmaceutical compounding
Int. J Pharm. Pharm. Sci.|international journal of pharmacy and pharmaceutical sciences
Int. J Pharm. Pract.|international journal of pharmacy practice
Int. J Pharm. Sci. Res.|international journal of pharmaceutical sciences and research
Int. J Pharm. Technol. Prod. Manuf.|international journal of pharmaceutical technology and product manufacture
Int. J Pharmacokinet.|international journal of pharmacokinetics
Int. J Photoenergy.|international journal of photoenergy
Int. J Phycol. Phycochem.|international journal of phycology and phycochemistry
Int. J Phytorem.|international journal of phytoremediation
Int. J PIXE.|international journal of pixe
Int. J Plant. Genomics.|international journal of plant genomics
Int. J Plasma. Sci. Eng.|international journal of plasma science and engineering
Int. J Plast.|international journal of plasticity
Int. J Plast. Technol.|international journal of plastics technology
Int. J Polym. Anal. Charact.|international journal of polymer analysis and characterization
Int. J Polym. Mater.|international journal of polymeric materials
Int. J Polym. Sci.|international journal of polymeric science
Int. J Powder. Metall.|international journal of powder metallurgy
Int. J Power. Energy. Syst.|international journal of power and energy systems
Int. J Precis. Eng.|international journal of precision engineering
Int. J Precis. Eng. Manuf.|international journal of precision engineering and manufacturing
Int. J Press. Vessels. Pip.|international journal of pressure vessels and piping
Int. J Prod. Econ.|international journal of production economics
Int. J Prod. Res.|international journal of production research
Int. J Project. Manage.|international journal of project management
Int. J Qual. Methods.|international journal of qualitative methods
Int. J Quantum. Chem.|international journal of quantum chemistry
Int. J Radiat. Appl. Instrum. Part. A|international journal of radiation applications and instrumentation part a applied radiation and isotopes
Int. J Radiat. Appl. Instrum. Part. B|international journal of radiation applications and instrumentation part b nuclear medicine and biology
Int. J Radiat. Appl. Instrum. Part. C|international journal of radiation applications and instrumentation part c radiation physics and chemistry
Int. J Radiat. Appl. Instrum. Part. D|international journal of radiation applications and instrumentation part d nuclear tracks and radiation measurements
Int. J Radiat. Appl. Instrum. Part. E|international journal of radiation applications and instrumentation part e nuclear geophysics
Int. J Radiat. Biol.|international journal of radiation biology
Int. J Radiat. Med.|international journal of radiation medicine
Int. J Radiat. Oncol. Biol. Phys.|international journal of radiation oncology biology physics
Int. J Radiat. Phys.|international journal of radiation physics
Int. J Radiat. Phys. Chem.|international journal for radiation physics and chemistry
Int. J Radio. Freq. Identif. Technol. Appl.|international journal of radio frequency identification technology and applications
Int. J Reconfigurable. Comput.|international journal of  reconfigurable computing
Int. J Recyl. Org. Waste. Agric.|international journal of recycling of organic waste in agriculture
Int. J Refract. Met. Hard. Mater.|international journal of refractory metals and hard materials
Int. J Refrig.|international journal of refrigeration
Int. J Rehabil. Res.|international journal of rehabilitation research
Int. J Reliab. Qual. Saf. Eng.|international journal of reliability, quality and safety engineering
Int. J Reliab. Saf.|international journal of reliability and safety
Int. J Remote. Sens.|international journal of remote sensing
Int. J RF. Microwave. Comput. Aided. Eng.|international journal of rf and microwave computer-aided engineering
Int. J RF. Technol. Res. Appl.|international journal of rf technologies: research and applications
Int. J Risk. Saf. Med.|international journal of risk &; safety in medicine
Int. J Rob. Autom.|international journal of robotics and automation
Int. J Rob. Res.|international journal of robotics research
Int. J Robust. Nonlinear. Control.|international journal of robust and nonlinear control
Int. J Rock. Mech. Min. Sci.|international journal of rock mechanics and mining sciences
Int. J Rotating. Mach.|international journal of rotating machinery
Int. J Salt. Lake. Res.|international journal of salt lake research
Int. J Satell. Commun. Networking.|international journal of satellite communications and networking
Int. J Sci. Eng. Res.|international journal of scientific and engineering research
Int. J Secur. Netw.|international journal of security and networks
Int. J Sediment. Res.|international journal of sediment research
Int. J Self. Propag. High. Temp. Synth.|international journal of self-propagating high-temperature synthesis
Int. J Serv. Oper. Inf.|international journal of services operations and informatics
Int. J Serv. Technol. Manage.|international journal of services, technology and management
Int. J Shape. Model.|international journal of shape modeling
Int. J Simul. Multi. Des. Optim.|international journal for simulation and multidisciplinary design optimization
Int. J Simul. Process. Model.|international journal of simulation and process modelling
Int. J Simul. Syst. Sci. Technol.|international journal of simulation: systems, science and technology
Int. J Smart. Sens. Intell. Syst.|international journal of smart sensing and intelligent systems
Int. J Soc. Mater. Eng. Resour.|international journal of the society of material engineering for resources
Int. J Social. Rob.|international journal of social robotics
Int. J Soft. Comput.|international journal of soft computing
Int. J Software. Eng. Knowl. Eng.|international journal of software engineering and knowledge engineering
Int. J Software. Tools. Technol. Trans.|international journal on software tools for technology transfer
Int. J Soil. Dyn. Earthquake. Eng.|international journal of soil dynamics and earthquake engineering
Int. J Soil. Sci.|international journal of soil science
Int. J Solids. Struct.|international journal of solids and structures
Int. J Space. Struct.|international journal of space structures
Int. J Spectro.|international journal of spectroscopy
Int. J Speech. Technol.|international journal of speech technology
Int. J Sport. Nutr.|international journal of sport nutrition
Int. J Sport. Nutr. Exercise. Metab.|international journal of sport nutrition and exercise metabolism
Int. J Sports. Med.|international journal of sports medicine
Int. J Spray. Combust. Dyn.|international journal of spray and combustion dynamics
Int. J Steel. Struct.|international journal of streel structures
Int. J Stem. Cells.|international journal of stem cells
Int. J STEM. Educ. Res.|international journal of stem education research
Int. J Struct. Stab. Dyn.|international journal of structural stability and dynamics
Int. J Sulfur. Chem. Part. A:.|international journal of sulfur chemistry part a: original experimental and theoretical studies
Int. J Sulfur. Chem. Part. B:.|international journal of sulfur chemistry part b: quartler reports on sulfur chemistry
Int. J Surf. Min. Reclam. Environ.|international journal of surface mining, reclamation, and environment
Int. J Surf. Sci. Eng.|international journal of surface science and engineering
Int. J Sustainable. Built. Environ.|international journal of sustainable built environment
Int. J Sustainable. Dev.|international journal of sustainable development
Int. J Sustainable. Dev. World. Ecol.|international journal of sustainable development and world ecology
Int. J Sustainable. Energy.|international journal of sustainable energy
Int. J Sustainable. Eng.|international journal of sustainable engineering
Int. J Syst. Assur. Eng. Manage.|international journal of systems assurance engineering and management
Int. J Syst. Bacteriol.|international journal of systematic bacteriology
Int. J Syst. Evol. Microbiol.|international journal of systematic and evolutionary microbiology
Int. J Syst. Sci.|international journal of systems science
Int. J Technol. Assess. Health. Care.|international journal of technology assessment in health care
Int. J Technol. Des. Educ.|international journal of technology and design education
Int. J Technol. Hum. Interact.|international journal of technology and human interaction
Int. J Technol. Intell. Plann.|international journal of technology intelligence and planning
Int. J Technol. Manage.|international journal of technology management
Int. J Technol. Policy. Manage.|international journal of technology, policy and management
Int. J Theor. Phys.|international journal of theoretical physics
Int. J Theor. Phys. Group. Theory. Nonlinear. Opt.|international journal of theoretical physics, group theory, and nonlinear optics
Int. J Therm. Sci.|international journal of thermal sciences
Int. J Thermodyn.|international journal of thermodynamics
Int. J Thermofluids.|international journal of thermofluids
Int. J Thermophys.|international journal of thermophysics
Int. J Toxicol.|international journal of toxicology
Int. J Transp. Phenom.|international journal of transport phenomena
Int. J Transp. Sci. Technol.|international journal of transportation science and technology
Int. J Trop. Insect. Sci.|international journal of tropical insect science
Int. J Tryptophan. Res.|international journal of tryptophan research
Int. J Uncertainty. Fuzziness. Knowledge. Based. Syst.|international journal of uncertainty, fuzziness and knowledge-based systems
Int. J Veh. Auton. Syst.|international journal of vehicle autonomous systems
Int. J Veh. Des.|international journal of vehicle design
Int. J Veh. Inf. Commun. Syst.|international journal of vehicle information and communication systems
Int. J Veh. Noise. Vib.|international journal of vehicle noise and vibration
Int. J Veh. Saf.|international journal of vehicle safety
Int. J Veh. Syst. Model. Test.|international journal of vehicle systems modelling and testing
Int. J Vent.|international journal of ventilation
Int. J Water.|international journal of water
Int. J Water. Resour. Dev.|international journal of water resources development
Int. J Wavelets. Multiresolution. Inf. Process.|international journal of wavelets, multiresolution and information processing
Int. J Web. Based. Communities.|international journal of web based communities
Int. J Web. Eng. Technol.|international journal of web engineering and technology
Int. J Web. Grid. Serv.|international journal of web and grid services
Int. J Web. Serv. Res.|international journal of web services research
Int. J Wildland. Fire.|international journal of wildland fire
Int. J Wireless. Inf. Networks.|international journal of wireless information networks
